Invoice_Customer_Code__c,Invoice_Count
3020000065,1
3020000089,6
3020000114,7
3020000197,2
3020000334,1
3020000443,2
3020000455,154
3020000458,1
3020000468,2
3020000474,1
3020000482,7
3020000502,5
3020000506,45
3020000507,13
3020000541,5
3020000557,2
3020000574,1
3020000594,5
3020000595,1
3020000613,8
3020000623,2
3020000629,210
3020000648,6
3020000661,4
3020000672,3
3020000677,2
3020000681,2
3020000707,1
3020000709,50
3020000737,1
3020000738,2
3020000744,2
3020000762,1
3020000776,1
3020000781,1
3020000869,5
3020000895,1
3020000903,1
3020000922,1
3020000948,2
3020000974,1
3020000987,9
3020001000,2
3020001006,2
3020001013,1
3020001025,1
3020001045,1
3020001112,2
3020001136,3
3020001177,4
3020001279,2
3020001301,3
3020001306,1
3020001316,5
3020001320,5
3020001338,126
3020001346,9
3020001354,2
3020001361,17
3020001370,5
3020001371,2
3020001387,4
3020001391,5
3020001410,1
3020001431,2
3020001434,9
3020001456,1
3020001460,49
3020001474,2
3020001476,2
3020001488,1
3020001497,2
3020001502,33
3020001507,1
3020001553,3
3020001556,17
3020001616,21
3020001622,35
3020001630,23
3020001638,1
3020001639,24
3020001644,9
3020001649,1
3020001659,1
3020001670,4
3020001671,8
3020001687,4
3020001697,1
3020001707,1
3020001708,4
3020001717,15
3020001723,4
3020001726,18
3020001746,13
3020001754,3
3020001773,92
3020001788,4
3020001793,8
3020001799,20
3020001806,1
